"source_url","source_title","source_name","level_hint","duration_minutes_hint","youtube_video_id","thumbnail_url","notes","priority","topic_bucket","import_batch","curation_status","sort_priority"
"https://www.youtube.com/watch?v=26PrgjTboVQ","Are you following your dreams?","BBC Learning English","B1","6","26PrgjTboVQ","https://i.ytimg.com/vi/26PrgjTboVQ/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","lifestyle-growth","bbc-6min-001","approved","1"
"https://www.youtube.com/watch?v=we4KiShNjlA","Improving your memory","BBC Learning English","B1","6","we4KiShNjlA","https://i.ytimg.com/vi/we4KiShNjlA/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","learning-memory","bbc-6min-001","approved","2"
"https://www.youtube.com/watch?v=Y681hXWwhQY","The benefits of doing nothing","BBC Learning English","B1","6","Y681hXWwhQY","https://i.ytimg.com/vi/Y681hXWwhQY/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","lifestyle-growth","bbc-6min-001","approved","3"
"https://www.youtube.com/watch?v=2USh8OmgiJE","Why do young people feel so lonely?","BBC Learning English","B1","6","2USh8OmgiJE","https://i.ytimg.com/vi/2USh8OmgiJE/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","health-wellbeing","bbc-6min-001","approved","4"
"https://www.youtube.com/watch?v=FZDImEiPgMk","Feed your brain","BBC Learning English","B1","6","FZDImEiPgMk","https://i.ytimg.com/vi/FZDImEiPgMk/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","health-wellbeing","bbc-6min-001","approved","5"
"https://www.youtube.com/watch?v=g8q-Nq-ajx8","Social media and teenage health","BBC Learning English","B2","6","g8q-Nq-ajx8","https://i.ytimg.com/vi/g8q-Nq-ajx8/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","health-wellbeing","bbc-6min-001","approved","6"
"https://www.youtube.com/watch?v=7F1iJZr-p4E","Are you drinking enough water?","BBC Learning English","B1","6","7F1iJZr-p4E","https://i.ytimg.com/vi/7F1iJZr-p4E/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","health-wellbeing","bbc-6min-001","approved","7"
"https://www.youtube.com/watch?v=wkjSBC-_bDA","How do you learn to speak a language?","BBC Learning English","B1","6","wkjSBC-_bDA","https://i.ytimg.com/vi/wkjSBC-_bDA/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","learning-memory","bbc-6min-001","approved","8"
"https://www.youtube.com/watch?v=1iHeeMlOsyc","Why we forget the things we learn","BBC Learning English","B1","6","1iHeeMlOsyc","https://i.ytimg.com/vi/1iHeeMlOsyc/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","learning-memory","bbc-6min-001","approved","9"
"https://www.youtube.com/watch?v=HZd53TJpmoQ","What to do when you can't sleep","BBC Learning English","B1","6","HZd53TJpmoQ","https://i.ytimg.com/vi/HZd53TJpmoQ/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","health-wellbeing","bbc-6min-001","approved","10"
"https://www.youtube.com/watch?v=_5siHrpPnmw","The health benefits of apples","BBC Learning English","B1","6","_5siHrpPnmw","https://i.ytimg.com/vi/_5siHrpPnmw/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","food-consumer","bbc-6min-001","approved","11"
"https://www.youtube.com/watch?v=fG7dJ6A3l7w","Food and mood","BBC Learning English","B1","6","fG7dJ6A3l7w","https://i.ytimg.com/vi/fG7dJ6A3l7w/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","food-consumer","bbc-6min-001","approved","12"
"https://www.youtube.com/watch?v=5R3WdBE1-JM","The smell of coffee","BBC Learning English","B1","6","5R3WdBE1-JM","https://i.ytimg.com/vi/5R3WdBE1-JM/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","food-consumer","bbc-6min-001","approved","13"
"https://www.youtube.com/watch?v=JjESWHykTJQ","What makes you happy?","BBC Learning English","B1","6","JjESWHykTJQ","https://i.ytimg.com/vi/JjESWHykTJQ/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","health-wellbeing","bbc-6min-001","approved","14"
"https://www.youtube.com/watch?v=vq2x7k_nofw","Exercise for the lazy","BBC Learning English","B1","6","vq2x7k_nofw","https://i.ytimg.com/vi/vq2x7k_nofw/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","health-wellbeing","bbc-6min-001","approved","15"
"https://www.youtube.com/watch?v=zsOnAHAY6to","Money and lifestyle","BBC Learning English","B1","6","zsOnAHAY6to","https://i.ytimg.com/vi/zsOnAHAY6to/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","lifestyle-growth","bbc-6min-001","approved","16"
"https://www.youtube.com/watch?v=Mqnlb_yj3bY","Why do people like sad music?","BBC Learning English","B1","6","Mqnlb_yj3bY","https://i.ytimg.com/vi/Mqnlb_yj3bY/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","society-culture","bbc-6min-001","approved","17"
"https://www.youtube.com/watch?v=Joc4kJ4M1Bk","The power of crying","BBC Learning English","B1","6","Joc4kJ4M1Bk","https://i.ytimg.com/vi/Joc4kJ4M1Bk/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","health-wellbeing","bbc-6min-001","approved","18"
"https://www.youtube.com/watch?v=h_pvijqmolQ","Why read books, not screens?","BBC Learning English","B1","6","h_pvijqmolQ","https://i.ytimg.com/vi/h_pvijqmolQ/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","learning-memory","bbc-6min-001","approved","19"
"https://www.youtube.com/watch?v=oTPZWpQ9pbA","Cultural differences and body language","BBC Learning English","B2","6","oTPZWpQ9pbA","https://i.ytimg.com/vi/oTPZWpQ9pbA/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","society-culture","bbc-6min-001","approved","20"
"https://www.youtube.com/watch?v=FKwmUNffu7M","Why are prices going up?","BBC Learning English","B2","6","FKwmUNffu7M","https://i.ytimg.com/vi/FKwmUNffu7M/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","medium","work-future","bbc-6min-001","approved","21"
"https://www.youtube.com/watch?v=qoNRZKgLDhg","Climate change: Are there too many people?","BBC Learning English","B2","6","qoNRZKgLDhg","https://i.ytimg.com/vi/qoNRZKgLDhg/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","medium","work-future","bbc-6min-001","approved","22"
"https://www.youtube.com/watch?v=DsQMLrPdLf8","Why sitting is bad for health","BBC Learning English","B1","6","DsQMLrPdLf8","https://i.ytimg.com/vi/DsQMLrPdLf8/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","health-wellbeing","bbc-6min-001","approved","23"
"https://www.youtube.com/watch?v=j8d5kkKfDbo","Are you lonely in a crowd?","BBC Learning English","B1","6","j8d5kkKfDbo","https://i.ytimg.com/vi/j8d5kkKfDbo/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","health-wellbeing","bbc-6min-001","approved","24"
"https://www.youtube.com/watch?v=V2eW5jGQe8I","Are you unhappy at work?","BBC Learning English","B1","6","V2eW5jGQe8I","https://i.ytimg.com/vi/V2eW5jGQe8I/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","health-wellbeing","bbc-6min-001","approved","25"
"https://www.youtube.com/watch?v=uxtXEuK05-w","What is the key to happiness?","BBC Learning English","B1","6","uxtXEuK05-w","https://i.ytimg.com/vi/uxtXEuK05-w/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","high","health-wellbeing","bbc-6min-001","approved","26"
"https://www.youtube.com/watch?v=xy27CfuFtJE","Talking at the table","BBC Learning English","B1","6","xy27CfuFtJE","https://i.ytimg.com/vi/xy27CfuFtJE/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","medium","society-culture","bbc-6min-001","approved","27"
"https://www.youtube.com/watch?v=mpxwlItsDA8","Can we live without plastic?","BBC Learning English","B2","6","mpxwlItsDA8","https://i.ytimg.com/vi/mpxwlItsDA8/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","medium","work-future","bbc-6min-001","approved","28"
"https://www.youtube.com/watch?v=KkrhHUeMjIU","Are you addicted to your smartphone?","BBC Learning English","B1","6","KkrhHUeMjIU","https://i.ytimg.com/vi/KkrhHUeMjIU/hqdefault.jpg","6 Minute English playlist metadata only; review before import.","medium","society-culture","bbc-6min-001","approved","29"
